Month End,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,nrind,year,week
30/06/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,10,2016,23
30/06/2017,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,10,2017,22
31/10/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2017,42
31/10/2017,Mudug,Gaalkacyo,Hiraan,Bulo Burto,Drought related,Livelihood Support,10,2017,41
30/11/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,10,2017,46
30/11/2017,Mudug,Galdogob,Hiraan,Belet Weyne,Conflict/Insecurity,Shelter,10,2017,45
31/12/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2017,50
31/01/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Water,10,2018,2
31/01/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,10,2018,3
31/01/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Transport,10,2018,3
30/04/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2018,16
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,10,2018,20
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Health,10,2018,20
31/07/2018,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Food,10,2018,30
31/07/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,10,2018,30
31/08/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,10,2018,31
31/08/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2018,31
30/09/2018,Mudug,Gaalkacyo,Hiraan,Bulo Burto,Drought related,Livelihood Support,10,2018,39
30/11/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Food,10,2018,45
31/01/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2019,1
28/02/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Other,10,2019,6
30/06/2019,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,10,2019,25
31/07/2019,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,10,2019,29
31/01/2016,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Shelter,9,2016,1
31/03/2016,Bari,Bossaso,Hiraan,Belet Weyne,Other,Livelihood Support,9,2016,10
31/05/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,9,2016,18
30/06/2016,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Livelihood Support,9,2016,22
31/08/2016,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Water,9,2016,34
31/08/2016,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Shelter,9,2016,33
30/09/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2016,37
31/03/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Food,9,2017,10
30/04/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,9,2017,16
30/06/2017,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Water,9,2017,22
31/07/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Food,9,2017,28
31/08/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,9,2017,32
30/09/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2017,39
31/10/2017,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Food,9,2017,42
31/10/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Water,9,2017,39
31/10/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,9,2017,43
30/11/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2017,44
30/11/2017,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,9,2017,44
30/11/2017,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Water,9,2017,44
30/11/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2017,45
30/11/2017,Nugaal,Garoowe,Hiraan,Belet Weyne,Conflict/Insecurity,Other,9,2017,46
30/11/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Water,9,2017,47
31/12/2017,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Food,9,2017,50
31/12/2017,Woqooyi Galbeed,Gebiley,Hiraan,Bulo Burto,Drought related,Livelihood Support,9,2017,51
31/01/2018,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Shelter,9,2018,4
31/03/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Livelihood Support,9,2018,10
31/03/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,9,2018,11
30/04/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Water,9,2018,17
30/04/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,9,2018,17
30/04/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,9,2018,17
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Water,9,2018,18
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Shelter,9,2018,18
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Other,Shelter,9,2018,19
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Humanitarian Aid,9,2018,19
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,9,2018,20
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,9,2018,21
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,9,2018,21
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Food,9,2018,20
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Food,9,2018,20
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Health,9,2018,22
30/06/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2018,24
30/06/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,9,2018,23
31/07/2018,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Livelihood Support,9,2018,27
31/08/2018,Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Livelihood Support,9,2018,34
30/09/2018,Bari,Bandarbeyla,Hiraan,Belet Weyne,Drought related,Health,9,2018,37
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,9,2018,41
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Water,9,2018,41
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,9,2018,43
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,9,2018,43
31/10/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Food,9,2018,43
30/11/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Water,9,2018,45
31/01/2019,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2019,3
31/01/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,9,2019,1
28/02/2019,Bari,Qardho,Hiraan,Bulo Burto,Drought related,Food,9,2019,8
31/07/2019,Hiraan,Bulo Burto,Hiraan,Bulo Burto,Drought related,Other,9,2019,30
31/01/2016,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Health,8,2016,2
31/01/2016,Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Water,8,2016,0
29/02/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,8,2016,6
31/03/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Other,8,2016,10
30/04/2016,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,8,2016,14
30/04/2016,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2016,13
31/05/2016,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2016,18
31/05/2016,Bay,Baidoa,Hiraan,Belet Weyne,Flood,Shelter,8,2016,21
31/05/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Flood,Other,8,2016,21
30/06/2016,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2016,25
30/06/2016,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Shelter,8,2016,23
30/06/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,8,2016,23
31/07/2016,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2016,30
31/07/2016,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Livelihood Support,8,2016,28
31/07/2016,Bakool,Tayeeglow,Hiraan,Bulo Burto,Conflict/Insecurity,Other,8,2016,29
31/07/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2016,30
31/07/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Health,8,2016,30
31/08/2016,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Water,8,2016,31
30/09/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2016,37
31/01/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2017,2
30/04/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,8,2017,13
31/05/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2017,20
31/05/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Water,8,2017,18
31/05/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,8,2017,19
30/06/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2017,22
31/07/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Transport,8,2017,30
31/07/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Water,8,2017,30
30/09/2017,Awdal,Borama,Hiraan,Bulo Burto,Drought related,Livelihood Support,8,2017,36
31/10/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Shelter,8,2017,42
31/10/2017,Sool,Laas Caanood,Hiraan,Belet Weyne,Conflict/Insecurity,Food,8,2017,40
31/10/2017,Sool,Laas Caanood,Hiraan,Bulo Burto,Drought related,Food,8,2017,40
30/11/2017,Nugaal,Garoowe,Hiraan,Bulo Burto,Drought related,Livelihood Support,8,2017,48
31/12/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,8,2017,51
31/12/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2017,51
31/12/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Water,8,2017,51
31/01/2018,Bari,Bossaso,Hiraan,Bulo Burto,Drought related,Food,8,2018,3
31/01/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Water,8,2018,3
31/01/2018,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,8,2018,4
31/01/2018,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,8,2018,4
31/03/2018,Hiraan,Belet Weyne,Hiraan,Belet Weyne,Conflict/Insecurity,Food,8,2018,13
31/03/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Water,8,2018,12
31/03/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,8,2018,13
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Health,8,2018,17
30/04/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,8,2018,17
30/04/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,8,2018,15
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Livelihood Support,8,2018,18
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,8,2018,18
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Other,8,2018,21
31/05/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Water,8,2018,19
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Health,8,2018,19
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,8,2018,21
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Humanitarian Aid,8,2018,18
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Humanitarian Aid,8,2018,19
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Shelter,8,2018,21
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,8,2018,21
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Other,8,2018,23
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,8,2018,26
30/06/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,8,2018,22
31/07/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,8,2018,29
31/07/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,8,2018,29
31/07/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,8,2018,30
31/07/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Food,8,2018,30
31/07/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Livelihood Support,8,2018,27
31/08/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,8,2018,31
31/08/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,8,2018,34
30/09/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2018,36
30/09/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,8,2018,39
30/09/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Livelihood Support,8,2018,38
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Water,8,2018,40
31/10/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,8,2018,40
30/11/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Humanitarian Aid,8,2018,45
30/11/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,8,2018,45
31/12/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2018,49
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2018,51
31/12/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2018,51
31/12/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,8,2018,51
31/01/2019,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2019,2
31/01/2019,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Shelter,8,2019,3
31/01/2019,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Water,8,2019,3
31/01/2019,Bari,Qardho,Hiraan,Jalalaqsi,Drought related,Livelihood Support,8,2019,3
28/02/2019,Bari,Qardho,Hiraan,Bulo Burto,Other,Food,8,2019,5
31/03/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2019,10
31/03/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Shelter,8,2019,12
30/04/2019,Banadir,Banadir,Hiraan,Jalalaqsi,Conflict/Insecurity,Food,8,2019,15
30/04/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2019,15
30/04/2019,Bay,Buur Hakaba,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2019,14
31/05/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Shelter,8,2019,18
31/05/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Shelter,8,2019,21
31/05/2019,Bari,Qardho,Hiraan,Jalalaqsi,Drought related,Shelter,8,2019,19
30/06/2019,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,8,2019,26
31/01/2016,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Livelihood Support,7,2016,4
29/02/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2016,8
31/03/2016,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Livelihood Support,7,2016,11
31/03/2016,Bari,Bossaso,Hiraan,Belet Weyne,Other,Livelihood Support,7,2016,12
30/04/2016,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Water,7,2016,15
30/04/2016,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Food,7,2016,15
30/04/2016,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Water,7,2016,15
30/04/2016,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,7,2016,15
31/05/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2016,18
31/05/2016,Mudug,Gaalkacyo,Hiraan,Bulo Burto,Drought related,Livelihood Support,7,2016,18
31/05/2016,Mudug,Gaalkacyo,Hiraan,Bulo Burto,Drought related,Shelter,7,2016,21
30/06/2016,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Food,7,2016,22
30/06/2016,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Shelter,7,2016,25
31/07/2016,Awdal,Borama,Hiraan,Bulo Burto,Drought related,Transport,7,2016,27
31/07/2016,Bakool,Tayeeglow,Hiraan,Bulo Burto,Conflict/Insecurity,Transport,7,2016,29
31/07/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,7,2016,28
31/07/2016,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,7,2016,30
31/08/2016,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2016,34
31/12/2016,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2016,49
31/01/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2017,3
28/02/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2017,7
28/02/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,7,2017,8
30/04/2017,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,7,2017,16
30/04/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2017,17
30/04/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2017,15
31/05/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,20
31/05/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Other,7,2017,21
30/06/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,22
30/06/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2017,23
30/06/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,7,2017,26
30/06/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,7,2017,24
31/07/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,28
31/07/2017,Awdal,Borama,Hiraan,Bulo Burto,Drought related,Livelihood Support,7,2017,30
31/07/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,28
31/08/2017,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,32
31/08/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,7,2017,31
31/08/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,34
31/08/2017,Sool,Laas Caanood,Hiraan,Belet Weyne,Drought related,Humanitarian Aid,7,2017,34
31/08/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Water,7,2017,31
31/08/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2017,33
30/09/2017,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Food,7,2017,39
31/10/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,40
31/10/2017,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,7,2017,40
31/10/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,7,2017,41
30/11/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,46
30/11/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,47
30/11/2017,Mudug,Galdogob,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2017,46
30/11/2017,Sool,Laas Caanood,Hiraan,Bulo Burto,Drought related,Health,7,2017,47
30/11/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2017,45
31/12/2017,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Shelter,7,2017,50
31/12/2017,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Water,7,2017,49
31/12/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2017,49
31/12/2017,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,7,2017,52
31/01/2018,Mudug,Gaalkacyo,Hiraan,Bulo Burto,Drought related,Livelihood Support,7,2018,3
31/01/2018,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,7,2018,3
28/02/2018,Bari,Bossaso,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2018,7
28/02/2018,Bari,Qardho,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2018,7
28/02/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2018,6
28/02/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2018,6
28/02/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Other,7,2018,8
31/03/2018,Banadir,Banadir,Hiraan,Jalalaqsi,Drought related,Water,7,2018,13
31/03/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Water,7,2018,12
31/03/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2018,10
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,7,2018,17
30/04/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Humanitarian Aid,7,2018,17
30/04/2018,Mudug,Gaalkacyo,Hiraan,Jalalaqsi,Drought related,Livelihood Support,7,2018,15
30/04/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Food,7,2018,16
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Shelter,7,2018,19
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,7,2018,19
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Protection,7,2018,20
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Other,7,2018,20
31/05/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Livelihood Support,7,2018,20
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Health,7,2018,20
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Shelter,7,2018,20
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Flood,Livelihood Support,7,2018,20
31/05/2018,Bari,Bossaso,Hiraan,Belet Weyne,Other,Food,7,2018,20
31/05/2018,Bari,Qardho,Hiraan,Belet Weyne,Flood,Livelihood Support,7,2018,19
31/05/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Flood,Livelihood Support,7,2018,20
31/05/2018,Mudug,Galdogob,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2018,19
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Shelter,7,2018,19
31/05/2018,Nugaal,Garoowe,Hiraan,Belet Weyne,Flood,Livelihood Support,7,2018,20
31/05/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2018,21
31/05/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Water,7,2018,22
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Conflict/Insecurity,Food,7,2018,24
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Drought related,Food,7,2018,23
30/06/2018,Banadir,Banadir,Hiraan,Belet Weyne,Flood,Food,7,2018,22
30/06/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Shelter,7,2018,26
30/06/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Water,7,2018,22
31/07/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Water,7,2018,30
31/07/2018,Bari,Qardho,Hiraan,Belet Weyne,Conflict/Insecurity,Humanitarian Aid,7,2018,29
31/07/2018,Bari,Qardho,Hiraan,Jalalaqsi,Drought related,Humanitarian Aid,7,2018,27
31/07/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Livelihood Support,7,2018,28
31/07/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,7,2018,29
31/08/2018,Mudug,Gaalkacyo,Hiraan,Belet Weyne,Drought related,Food,7,2018,31
31/08/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Water,7,2018,34
31/08/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Jalalaqsi,Drought related,Transport,7,2018,31
30/09/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,7,2018,36
30/09/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Water,7,2018,36
30/09/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Bulo Burto,Drought related,Food,7,2018,36
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Conflict/Insecurity,Water,7,2018,43
31/10/2018,Banadir,Banadir,Hiraan,Bulo Burto,Drought related,Food,7,2018,40
31/10/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2018,41
31/10/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Food,7,2018,43
31/10/2018,Woqooyi Galbeed,Hargeysa,Hiraan,Belet Weyne,Drought related,Shelter,7,2018,44
